"88","A5","5EZ","5 Ezra","2 chapter Latin preface to Ezra Apocalypse; formerly called 5ES"
"89","A6","6EZ","6 Ezra","2 chapter Latin conclusion to Ezra Apocalypse; formerly called 6ES"
"90","B2","DAG","Daniel Greek","The 14 chapter version of Daniel from the Septuagint including Greek additions"
"91","B3","PS3","Psalms 152-155","Additional Psalms 152-155 found in West Syriac manuscripts"
"92","B4","2BA","2 Baruch (Apocalypse)","The Apocalypse of Baruch in Syriac Bibles"
"93","B5","LBA","Letter of Baruch","Sometimes appended to 2 Baruch; sometimes separate in Syriac Bibles"
"94","B6","JUB","Jubilees","Ancient Hebrew book used in the Ethiopian Bible"
"95","B7","ENO","Enoch","Sometimes called '1 Enoch'; ancient Hebrew book in the Ethiopian Bible"
"96","B8","1MQ","1 Meqabyan/Mekabis","Book of Mekabis of Benjamin in the Ethiopian Bible"
"97","B9","2MQ","2 Meqabyan/Mekabis","Book of Mekabis of Moab in the Ethiopian Bible"
"98","C0","3MQ","3 Meqabyan/Mekabis","Book of Meqabyan in the Ethiopian Bible"
"99","C1","REP","Reproof","Proverbs part 2: Used in the Ethiopian Bible"
"100","C2","4BA","4 Baruch","Paralipomenon of Jeremiah"
"101","C3","LAO","Letter to the Laodiceans","A Latin Vulgate book"
"102","A0","FRT","Front Matter"
"103","A1","BAK","Back Matter"
"104","A2","OTH","Other Matter"
"105","A7","INT","Introduction Matter"
"106","A8","CNC","Concordance"
"107","A9","GLO","Glossary / Wordlist"
"108","B0","TDX","Topical Index"
"109","B1","NDX","Names Index"
"110","94","XXA","Extra material"
"111","95","XXB","Extra material"
"112","96","XXC","Extra material"
"113","97","XXD","Extra material"
"114","98","XXE","Extra material"
"115","99","XXF","Extra material"
"116","100","XXG","Extra material"
